loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0.9822,0.4847005307674408,0.000196,0.02,50,,,,,,,,,
,,,0.02,50,0.694007933139801,134.2458,14.898,7.449,,,,,
0.7189,0.38183754682540894,0.00017822222222222222,0.04,100,,,,,,,,,
,,,0.04,100,0.6738221645355225,133.7314,14.955,7.478,,,,,
0.6777,0.38690489530563354,0.00015600000000000002,0.06,150,,,,,,,,,
,,,0.06,150,0.6672670841217041,133.7714,14.951,7.475,,,,,
0.665,0.40958458185195923,0.00013377777777777777,0.08,200,,,,,,,,,
,,,0.08,200,0.6608948707580566,133.2256,15.012,7.506,,,,,
0.6803,0.3308560848236084,0.00011155555555555556,0.1,250,,,,,,,,,
,,,0.1,250,0.6558452844619751,133.3864,14.994,7.497,,,,,
0.6667,0.3864096701145172,8.933333333333334e-05,0.12,300,,,,,,,,,
,,,0.12,300,0.6497161388397217,133.4432,14.988,7.494,,,,,
0.6708,0.39957359433174133,6.711111111111112e-05,0.14,350,,,,,,,,,
,,,0.14,350,0.6457983255386353,133.5466,14.976,7.488,,,,,
0.6533,0.3415640890598297,4.4888888888888894e-05,0.16,400,,,,,,,,,
,,,0.16,400,0.6419997811317444,133.3386,14.999,7.5,,,,,
0.6611,0.3582976758480072,2.2666666666666668e-05,0.18,450,,,,,,,,,
,,,0.18,450,0.6398313045501709,133.5932,14.971,7.485,,,,,
0.6521,0.3381170928478241,4.444444444444445e-07,0.2,500,,,,,,,,,
,,,0.2,500,0.6385719180107117,133.4019,14.992,7.496,,,,,
,,,0.2,500,,,,,2181.8615,1.833,0.229,6.675074685139354e+16,0.7028104858398437
