loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0.9083,0.313890278339386,0.000196,0.04,50,,,,,,,,,
,,,0.04,50,0.6031219363212585,59.9129,16.691,4.173,,,,,
0.5902,0.25841206312179565,0.00017822222222222222,0.08,100,,,,,,,,,
,,,0.08,100,0.5844996571540833,59.0874,16.924,4.231,,,,,
0.6049,0.40633460879325867,0.00015600000000000002,0.12,150,,,,,,,,,
,,,0.12,150,0.5751574635505676,59.0565,16.933,4.233,,,,,
0.582,0.2523403763771057,0.00013377777777777777,0.16,200,,,,,,,,,
,,,0.16,200,0.5707802772521973,59.1062,16.919,4.23,,,,,
0.5723,0.2611331641674042,0.00011155555555555556,0.2,250,,,,,,,,,
,,,0.2,250,0.564845860004425,59.074,16.928,4.232,,,,,
0.559,0.2459481954574585,8.933333333333334e-05,0.24,300,,,,,,,,,
,,,0.24,300,0.5609152913093567,59.1692,16.901,4.225,,,,,
0.5645,0.31756147742271423,6.711111111111112e-05,0.28,350,,,,,,,,,
,,,0.28,350,0.557373046875,59.1151,16.916,4.229,,,,,
0.5629,0.3102206289768219,4.4888888888888894e-05,0.32,400,,,,,,,,,
,,,0.32,400,0.5534559488296509,59.1153,16.916,4.229,,,,,
0.5496,0.23484832048416138,2.2666666666666668e-05,0.36,450,,,,,,,,,
,,,0.36,450,0.550948977470398,59.159,16.904,4.226,,,,,
0.5575,0.252006471157074,4.444444444444445e-07,0.4,500,,,,,,,,,
,,,0.4,500,0.5497225522994995,59.1462,16.907,4.227,,,,,
,,,0.4,500,,,,,1823.8587,4.386,0.274,1.6962973806379008e+17,0.6051264076232911
